21:41:25:021,0.221286,0.00130212,0.707743,0.221263,0.000865967,0.703289
21:41:25:121,0.221231,0.00113476,0.70603,0.221338,0.000960331,0.701295
21:41:25:221,0.221318,0.00105563,0.704141,0.220784,0.00125211,0.699433
21:41:25:321,0.221138,0.0010349,0.70225,0.220287,0.00110148,0.697918
21:41:25:422,0.220792,0.00102931,0.700249,0.219811,0.000763742,0.6962
21:41:25:522,0.22041,0.000950927,0.698559,0.219642,0.000521587,0.694657
21:41:25:622,0.220024,0.000759408,0.697068,0.219651,0.000500207,0.692937
21:41:25:722,0.219897,0.000594261,0.695422,0.21982,0.00039321,0.690652
21:41:25:823,0.219735,0.000491121,0.693663,0.220075,0.000338215,0.6888
21:41:25:923,0.219752,0.000414785,0.691804,0.22055,0.000620568,0.687225
21:41:26:023,0.220091,0.000403557,0.68982,0.221217,0.00103817,0.685418
21:41:26:123,0.220515,0.000404334,0.688012,0.221854,0.00115215,0.6831
21:41:26:224,0.221018,0.000405255,0.68612,0.222384,0.00108629,0.680106
21:41:26:324,0.221541,0.000410197,0.683842,0.222439,0.00111724,0.678067
21:41:26:424,0.221906,0.000420182,0.681514,0.222473,0.00113933,0.676076
21:41:26:525,0.222079,0.000459099,0.67936,0.222552,0.00144532,0.674071
21:41:26:625,0.222308,0.000584791,0.677138,0.22278,0.00171046,0.67169
21:41:26:725,0.222561,0.000816172,0.674978,0.223087,0.00219357,0.669346
21:41:26:825,0.22276,0.00122269,0.672799,0.22353,0.00265924,0.667312
21:41:26:925,0.222991,0.00174109,0.670581,0.224149,0.00318891,0.665213
21:41:27:026,0.223365,0.00221116,0.668441,0.224982,0.00370871,0.663544
21:41:27:126,0.223891,0.00278527,0.666457,0.226354,0.00442422,0.662436
21:41:27:226,0.224515,0.00336625,0.664779,0.227919,0.00534137,0.662061
21:41:27:326,0.225365,0.0040868,0.663806,0.229959,0.00656992,0.66203
21:41:27:426,0.226893,0.00494552,0.662932,0.232366,0.00796749,0.662051
21:41:27:527,0.228921,0.00606442,0.662024,0.234824,0.00936093,0.662044
21:41:27:627,0.231204,0.00735065,0.661445,0.23771,0.0111001,0.66216
21:41:27:727,0.233764,0.00879801,0.661162,0.240778,0.0129569,0.662124
21:41:27:827,0.236469,0.0103986,0.661194,0.243023,0.0142844,0.662172
21:41:27:928,0.239145,0.0119639,0.661284,0.245909,0.0160131,0.662231
21:41:28:028,0.241827,0.0135715,0.661453,0.248184,0.0174548,0.662262
21:41:28:128,0.24445,0.0151872,0.661518,0.250682,0.0191041,0.662236
21:41:28:228,0.246984,0.0167818,0.661572,0.252803,0.0205384,0.662121
21:41:28:328,0.249346,0.0183132,0.661659,0.254706,0.021895,0.662071
21:41:28:429,0.251575,0.0197809,0.66175,0.256869,0.023416,0.66213
21:41:28:529,0.253746,0.0212357,0.661782,0.259638,0.02553,0.662292
21:41:28:629,0.256067,0.0228738,0.661898,0.262173,0.0274948,0.662188
21:41:28:729,0.258459,0.0247087,0.661993,0.264801,0.0295544,0.661924
21:41:28:830,0.260938,0.0266224,0.661981,0.267671,0.0319087,0.6619
21:41:28:930,0.263626,0.0286936,0.661837,0.270039,0.034012,0.661924
21:41:29:030,0.266268,0.0308278,0.661733,0.272541,0.0362735,0.66168
21:41:29:130,0.26879,0.033,0.661729,0.274686,0.0383835,0.661081
21:41:29:231,0.271109,0.0351811,0.661634,0.277119,0.0407716,0.660004
